timestamp,scenario,run,phase,model_label,requested_model_id,actual_model_id,temperature,top_p,top_k,max_output_tokens,runs_per_scenario,image_detail_quality,timeout_seconds,max_retries,response_status_finish_reason,output_txt,output_html,html_extracted,flagged_incomplete_or_truncated,truncation_or_completeness_issues,status,error
5/7/2026 0:50,service_portal,1,Phase 1 - Requirements,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\service_portal\gpt4o_requirements_run1.txt,,N/A,No,None,success,
5/7/2026 0:51,service_portal,1,Phase 2 - Prototype,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\service_portal\gpt4o_prototype_raw_run1.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\service_portal\gpt4o_prototype_run1.html,Yes,No,None,success,
5/7/2026 0:51,service_portal,2,Phase 1 - Requirements,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\service_portal\gpt4o_requirements_run2.txt,,N/A,No,None,success,
5/7/2026 0:51,service_portal,2,Phase 2 - Prototype,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\service_portal\gpt4o_prototype_raw_run2.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\service_portal\gpt4o_prototype_run2.html,Yes,No,None,success,
5/7/2026 0:52,service_portal,3,Phase 1 - Requirements,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\service_portal\gpt4o_requirements_run3.txt,,N/A,No,None,success,
5/7/2026 0:52,service_portal,3,Phase 2 - Prototype,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\service_portal\gpt4o_prototype_raw_run3.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\service_portal\gpt4o_prototype_run3.html,Yes,No,None,success,
5/7/2026 0:52,Ecommerce,1,Phase 1 - Requirements,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Ecommerce\gpt4o_requirements_run1.txt,,N/A,No,None,success,
5/7/2026 0:53,Ecommerce,1,Phase 2 - Prototype,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Ecommerce\gpt4o_prototype_raw_run1.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Ecommerce\gpt4o_prototype_run1.html,Yes,No,None,success,
5/7/2026 0:53,Ecommerce,2,Phase 1 - Requirements,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Ecommerce\gpt4o_requirements_run2.txt,,N/A,No,None,success,
5/7/2026 0:54,Ecommerce,2,Phase 2 - Prototype,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Ecommerce\gpt4o_prototype_raw_run2.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Ecommerce\gpt4o_prototype_run2.html,Yes,No,None,success,
5/7/2026 0:54,Ecommerce,3,Phase 1 - Requirements,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Ecommerce\gpt4o_requirements_run3.txt,,N/A,No,None,success,
5/7/2026 0:54,Ecommerce,3,Phase 2 - Prototype,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Ecommerce\gpt4o_prototype_raw_run3.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Ecommerce\gpt4o_prototype_run3.html,Yes,No,None,success,
5/7/2026 0:54,Healthcare,1,Phase 1 - Requirements,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Healthcare\gpt4o_requirements_run1.txt,,N/A,No,None,success,
5/7/2026 0:55,Healthcare,1,Phase 2 - Prototype,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Healthcare\gpt4o_prototype_raw_run1.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Healthcare\gpt4o_prototype_run1.html,Yes,No,None,success,
5/7/2026 0:55,Healthcare,2,Phase 1 - Requirements,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Healthcare\gpt4o_requirements_run2.txt,,N/A,No,None,success,
5/7/2026 0:55,Healthcare,2,Phase 2 - Prototype,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Healthcare\gpt4o_prototype_raw_run2.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Healthcare\gpt4o_prototype_run2.html,Yes,No,None,success,
5/7/2026 0:56,Healthcare,3,Phase 1 - Requirements,OpenAI GPT-4o,gpt-4o,gpt-4o-2024-08-06,0.2,1,not supported by model/API,16384,3,high,180,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4o\Healthcare\gpt4o_requirements_run3.txt,,N/A,No,None,success,
