timestamp,scenario,run,phase,model_label,requested_model_id,actual_model_id,temperature,top_p,top_k,max_output_tokens,runs_per_scenario,image_detail_quality,timeout_seconds,max_retries,response_status_finish_reason,output_txt,output_html,html_extracted,flagged_incomplete_or_truncated,truncation_or_completeness_issues,status,error
2026-05-07 01:06:14,service_portal,1,Phase 1 - Requirements,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\service_portal\gpt41_requirements_run1.txt,,N/A,No,None,success,
2026-05-07 01:07:29,service_portal,1,Phase 2 - Prototype,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\service_portal\gpt41_prototype_raw_run1.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4\service_portal\gpt41_prototype_run1.html,Yes,No,None,success,
2026-05-07 01:07:50,service_portal,2,Phase 1 - Requirements,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\service_portal\gpt41_requirements_run2.txt,,N/A,No,None,success,
2026-05-07 01:08:31,service_portal,2,Phase 2 - Prototype,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\service_portal\gpt41_prototype_raw_run2.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4\service_portal\gpt41_prototype_run2.html,Yes,No,None,success,
2026-05-07 01:09:16,service_portal,3,Phase 1 - Requirements,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\service_portal\gpt41_requirements_run3.txt,,N/A,No,None,success,
2026-05-07 01:10:20,service_portal,3,Phase 2 - Prototype,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\service_portal\gpt41_prototype_raw_run3.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4\service_portal\gpt41_prototype_run3.html,Yes,No,None,success,
2026-05-07 01:10:38,Ecommerce,1,Phase 1 - Requirements,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\Ecommerce\gpt41_requirements_run1.txt,,N/A,No,None,success,
2026-05-07 01:11:47,Ecommerce,1,Phase 2 - Prototype,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\Ecommerce\gpt41_prototype_raw_run1.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4\Ecommerce\gpt41_prototype_run1.html,Yes,No,None,success,
2026-05-07 01:12:52,Ecommerce,2,Phase 1 - Requirements,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\Ecommerce\gpt41_requirements_run2.txt,,N/A,No,None,success,
2026-05-07 01:13:48,Ecommerce,2,Phase 2 - Prototype,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\Ecommerce\gpt41_prototype_raw_run2.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4\Ecommerce\gpt41_prototype_run2.html,Yes,No,None,success,
2026-05-07 01:14:05,Ecommerce,3,Phase 1 - Requirements,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\Ecommerce\gpt41_requirements_run3.txt,,N/A,No,None,success,
2026-05-07 01:16:11,Ecommerce,3,Phase 2 - Prototype,OpenAI GPT-4.1,gpt-4.1,gpt-4.1-2025-04-14,0.2,1.0,not supported by model/API,32768,3,high,180.0,2,status=completed; output_item_status=completed,C:\Users\hamda\python-projects\experiments\experiment_GPT4\Ecommerce\gpt41_prototype_raw_run3.txt,C:\Users\hamda\python-projects\experiments\experiment_GPT4\Ecommerce\gpt41_prototype_run3.html,Yes,No,None,success,
