timestamp,scenario,run,phase,model_label,requested_model_id,actual_model_id,temperature,top_p,top_k,max_output_tokens,runs_per_scenario,image_detail_quality,timeout_seconds,max_retries,response_status_finish_reason,output_txt,output_html,html_extracted,flagged_incomplete_or_truncated,truncation_or_completeness_issues,status,error
2026-05-07 00:12:35,service_portal,1,Phase 1 - Requirements,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\service_portal\claude_requirements_run1.txt,,N/A,No,None,success,
2026-05-07 00:13:40,service_portal,1,Phase 2 - Prototype,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\service_portal\claude_prototype_raw_run1.txt,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\service_portal\claude_prototype_run1.html,Yes,No,None,success,
2026-05-07 00:14:35,service_portal,2,Phase 1 - Requirements,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\service_portal\claude_requirements_run2.txt,,N/A,No,None,success,
2026-05-07 00:15:34,service_portal,2,Phase 2 - Prototype,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\service_portal\claude_prototype_raw_run2.txt,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\service_portal\claude_prototype_run2.html,Yes,No,None,success,
2026-05-07 00:16:31,service_portal,3,Phase 1 - Requirements,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\service_portal\claude_requirements_run3.txt,,N/A,No,None,success,
2026-05-07 00:17:32,service_portal,3,Phase 2 - Prototype,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\service_portal\claude_prototype_raw_run3.txt,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\service_portal\claude_prototype_run3.html,Yes,No,None,success,
2026-05-07 00:18:23,Ecommerce,1,Phase 1 - Requirements,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Ecommerce\claude_requirements_run1.txt,,N/A,No,None,success,
2026-05-07 00:19:36,Ecommerce,1,Phase 2 - Prototype,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Ecommerce\claude_prototype_raw_run1.txt,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Ecommerce\claude_prototype_run1.html,Yes,No,None,success,
2026-05-07 00:20:27,Ecommerce,2,Phase 1 - Requirements,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Ecommerce\claude_requirements_run2.txt,,N/A,No,None,success,
2026-05-07 00:21:26,Ecommerce,2,Phase 2 - Prototype,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Ecommerce\claude_prototype_raw_run2.txt,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Ecommerce\claude_prototype_run2.html,Yes,No,None,success,
2026-05-07 00:22:16,Ecommerce,3,Phase 1 - Requirements,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Ecommerce\claude_requirements_run3.txt,,N/A,No,None,success,
2026-05-07 00:23:18,Ecommerce,3,Phase 2 - Prototype,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Ecommerce\claude_prototype_raw_run3.txt,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Ecommerce\claude_prototype_run3.html,Yes,No,None,success,
2026-05-07 00:24:13,Healthcare,1,Phase 1 - Requirements,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Healthcare\claude_requirements_run1.txt,,N/A,No,None,success,
2026-05-07 00:25:21,Healthcare,1,Phase 2 - Prototype,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Healthcare\claude_prototype_raw_run1.txt,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Healthcare\claude_prototype_run1.html,Yes,No,None,success,
2026-05-07 00:26:19,Healthcare,2,Phase 1 - Requirements,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Healthcare\claude_requirements_run2.txt,,N/A,No,None,success,
2026-05-07 00:27:31,Healthcare,2,Phase 2 - Prototype,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Healthcare\claude_prototype_raw_run2.txt,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Healthcare\claude_prototype_run2.html,Yes,No,None,success,
2026-05-07 00:28:27,Healthcare,3,Phase 1 - Requirements,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Healthcare\claude_requirements_run3.txt,,N/A,No,None,success,
2026-05-07 00:29:33,Healthcare,3,Phase 2 - Prototype,Anthropic Claude Sonnet 4.5,claude-sonnet-4-5,claude-sonnet-4-5-20250929,0.2,not supported / provider default,not supported / provider default,64000,3,original/native,180.0,2,stop_reason=end_turn,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Healthcare\claude_prototype_raw_run3.txt,C:\Users\hamda\python-projects\experiments\claude-sonnet-4-5\Healthcare\claude_prototype_run3.html,Yes,No,None,success,
