timestamp,scenario,run,phase,model_label,requested_model_id,actual_model_id,temperature,top_p,top_k,max_output_tokens,runs_per_scenario,image_detail_quality,timeout_seconds,max_retries,response_status_finish_reason,output_txt,output_html,html_extracted,flagged_incomplete_or_truncated,truncation_or_completeness_issues,status,error
2026-05-06 23:16:17,service_portal,1,Phase 1 - Requirements,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\service_portal\gemini_requirements_run1.txt,,N/A,No,None,success,
2026-05-06 23:17:07,service_portal,1,Phase 2 - Prototype,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\service_portal\gemini_prototype_raw_run1.txt,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\service_portal\gemini_prototype_run1.html,Yes,No,None,success,
2026-05-06 23:17:39,service_portal,2,Phase 1 - Requirements,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\service_portal\gemini_requirements_run2.txt,,N/A,No,None,success,
2026-05-06 23:18:21,service_portal,2,Phase 2 - Prototype,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\service_portal\gemini_prototype_raw_run2.txt,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\service_portal\gemini_prototype_run2.html,Yes,No,None,success,
2026-05-06 23:18:46,service_portal,3,Phase 1 - Requirements,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\service_portal\gemini_requirements_run3.txt,,N/A,No,None,success,
2026-05-06 23:19:34,service_portal,3,Phase 2 - Prototype,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\service_portal\gemini_prototype_raw_run3.txt,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\service_portal\gemini_prototype_run3.html,Yes,No,None,success,
2026-05-06 23:20:03,Ecommerce,1,Phase 1 - Requirements,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\Ecommerce\gemini_requirements_run1.txt,,N/A,No,None,success,
2026-05-06 23:21:00,Ecommerce,1,Phase 2 - Prototype,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\Ecommerce\gemini_prototype_raw_run1.txt,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\Ecommerce\gemini_prototype_run1.html,Yes,No,None,success,
2026-05-06 23:21:36,Ecommerce,2,Phase 1 - Requirements,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\Ecommerce\gemini_requirements_run2.txt,,N/A,No,None,success,
2026-05-06 23:22:34,Ecommerce,2,Phase 2 - Prototype,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\Ecommerce\gemini_prototype_raw_run2.txt,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\Ecommerce\gemini_prototype_run2.html,Yes,No,None,success,
2026-05-06 23:23:14,Ecommerce,3,Phase 1 - Requirements,Google Gemini 2.5 Pro,gemini-2.5-pro,gemini-2.5-pro,0.2,1.0,not set / provider default,65535,3,native/original,180,2,finish_reason=FinishReason.STOP,C:\Users\hamda\python-projects\experiments\Gemini_2.5_Pro\Ecommerce\gemini_requirements_run3.txt,,N/A,No,None,success,
